Station Name,Street Address,City,ZIP,Station Phone,Access Days Time,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,EV Connector Types,Facility Type,EV Pricing
Domaine & Vins Gelinas,267 Rang de Saint-François-de-Pique-Dur,St-Sévère,G0X 3B0,819-264-5511,24 hours daily,2,,Non-Networked,46.38041531,-72.9295323,2022-02-10,82941,2022-04-26 16:04:15 UTC,J1772 TESLA,RESTAURANT,Free
Les Boises d'Amelie,3600 Ch du Lac Castor,Saint-Paulin,J0K 3G0,,For cottage owner use only,2,,Non-Networked,46.461235,-73.06348,2019-11-08,83003,2022-03-03 16:13:57 UTC,J1772 TESLA,RESTAURANT,Free
IKEA,1065 Plains Rd E,Burlington,L7T 4K1,905-681-5531,24 hours daily,,4,Non-Networked,43.328164,-79.828969,2022-04-13,83023,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,SHOPPING_CENTER,Free
IKEA,2685 Iris St,Ottawa,K2C 3S4,613-670-8060  888-999-5783,"7am-10pm M-Sat, 7am-8pm Sun",,2,Non-Networked,45.349861,-75.785074,2022-02-10,83029,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,SHOPPING_CENTER,Free
Boulevard Chevrolet Buick GMC Cadillac,374 Montee Industrielle-et-Commerciale,Rimouski,G5L 7C5,,8am-5pm M-F,2,1,Non-Networked,48.457449,-68.495154,2021-12-13,83103,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Gus Revenberg Chevrolet Buick GMC,10150 Tecumseh Rd E,Tecumseh,N8R 1A2,519-979-2800,Dealership business hours,,1,Non-Networked,42.314019,-82.916044,2022-03-04,83124,2022-04-26 16:04:15 UTC,J1772COMBO,CAR_DEALER,Free
Heuvelmans Chevrolet,755 Grand Ave W,Chatham,N7L 4L3,,24 hours daily,1,1,Non-Networked,42.395337,-82.212924,2022-04-13,83126,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Tru-Nor Truck Centre,1035 Falconbridge Rd,Sudbury,P3A 4M9,705-560-6625 x209,24 hours daily,1,,Non-Networked,46.520264,-80.92157,2022-04-13,83130,2022-04-26 16:04:15 UTC,TESLA,CAR_DEALER,Free
Mr. Janitorial Supplies,1125 Kerrisdale Blvd,Newmarket,L3Y 8W1,,,2,,Non-Networked,44.078672,-79.432768,2022-01-11,83218,2022-04-26 16:04:15 UTC,J1772 TESLA,OFFICE_BLDG,
Petro-Canada,3305 Dorchester Rd,Dorchester,N0L 1G0,800-668-0220,24 hours daily,1,2,PETROCAN,42.95611,-81.061756,2021-12-13,83230,2022-06-03 20:40:05 UTC,CHADEMO J1772 J1772COMBO,GAS_STATION,L2: Free; DC Fast: $0.33 per minute
Petro-Canada,1586 Centennial Dr,Kingston,K7P 0C7,613-389-8010  800-668-0220,24 hours daily,1,2,PETROCAN,44.280454,-76.570333,2021-12-13,83232,2022-06-03 20:40:05 UTC,CHADEMO J1772 J1772COMBO,GAS_STATION,L2: Free; DC Fast: $0.33 per minute
Petro-Canada,638 County Rd 41,Napanee,K7R 3L2,800-668-0220,24 hours daily,1,2,PETROCAN,44.268417,-76.967826,2021-12-13,83233,2022-06-03 20:40:05 UTC,CHADEMO J1772 J1772COMBO,GAS_STATION,L2: Free; DC Fast: $0.33 per minute
Petro-Canada,235 Steeles Ave E,Milton,L9T 1Y2,800-668-0220,24 hours daily,1,2,PETROCAN,43.52206,-79.893905,2021-06-07,83236,2022-06-03 20:40:05 UTC,CHADEMO J1772 J1772COMBO,GAS_STATION,L2: $0.33 per minute; DC Fast: $0.33 per minute
Reaume Chevrolet Buick GMC,500 Front Rd,Windsor,N9J 1Z9,519-734-7844,24 hours daily,1,1,Non-Networked,42.241722,-83.102857,2022-03-04,83263,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Tourism Goderich,51 Kingston St,Goderich,N7A 3K3,519-524-6600,24 hours daily,3,,Non-Networked,43.742017,-81.70931,2022-04-13,83270,2022-04-26 16:04:15 UTC,J1772 TESLA,MUNI_GOV,$1.50 per hour
Westway Motel - Cochrane,83 Highway 11 W,Cochrane,P0L 1C0,705-272-4285  877-772-4285,7:30am-11pm daily,2,,Non-Networked,49.059159,-81.036761,2022-04-13,83362,2022-04-26 16:04:15 UTC,J1772 TESLA,HOTEL,Free for guests; $10 per session for nonguests
DHS Engineering Inc,1594 Highway 246,Tatamagouche,B0K 1V0,902-657 2933,24 hours daily,2,,Non-Networked,45.643204,-63.358515,2018-05-07,83418,2021-06-07 17:08:43 UTC,J1772 TESLA,OFFICE_BLDG,Free
IKEA,1475 The Queensway,Toronto,M8Z 1T3,416-646-8182 x2406  844-835-2348,24 hours daily,,2,Non-Networked,43.618926,-79.534487,2022-03-04,83428,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,SHOPPING_CENTER,Free
IKEA,200 Interchange Way,Vaughan,L4K 5C3,866-866-4532  844-835-2348,24 hours daily,,2,Non-Networked,43.787562,-79.530244,2022-03-04,83432,2022-04-26 16:04:15 UTC,CHADEMO J1772COMBO,SHOPPING_CENTER,Free
Lanoue Chevrolet,75 Mill St W,Tillbury,N0P 2L0,888-887-9696,Dealership business hours,1,1,Non-Networked,42.262758,-82.446151,2022-03-04,83443,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Regina Motor Products,Albert St S,Regina,S4P 3A8,306-585-1770,Dealership business hours; customer use only,1,1,Non-Networked,50.3927531,-104.6205566,2022-06-10,83449,2022-06-10 20:48:01 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Lounsbury Chevrolet,2155 Main St,Moncton,E1C 9P2,506-857-4300  888-569-1699,24 hours daily,1,1,Non-Networked,46.07603985,-64.81053449,2021-09-09,83576,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Maritime Geothermal,170 Plantation Rd,Petitcodiac,E4Z 6P3,506-756-8135,8am-5pm M-F,2,,Non-Networked,45.939523,-65.157957,2021-09-09,83577,2022-04-26 16:04:15 UTC,J1772 TESLA,OTHER,Free
Moose Hotel & Suites,345 Banff Ave,Banff,T1L 1H8,403-760-8570,24 hours daily; for guest use only,3,,Tesla Destination,51.180729,-115.569795,2021-11-02,83624,2022-04-28 20:01:31 UTC,J1772 TESLA,HOTEL,Free
Addison Chevrolet,1220 Eglinton Ave E,Mississauga,L5N 5Z1,905-238-2886,Dealership business hours; for client use only,1,1,Non-Networked,43.631541,-79.624115,2022-02-10,83635,2022-04-28 20:01:31 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Chevrolet GMC Roberval,321 boul.,Roberval,G8H 1Z4,418-275-1331,24 hours daily,1,1,Non-Networked,48.502897,-72.22299,2021-12-13,83647,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Thibault Chevrolet,375 boul. Rideau,Rouyn-Noranda,J9X 5Y7,819-762-1751,24 hours daily,1,1,Non-Networked,48.245541,-79.045223,2021-12-13,83759,2022-04-26 16:04:15 UTC,J1772 J1772COMBO,CAR_DEALER,Free
Ski Val St-Come,501 rue Val Saint-Come,St-Come,J0K 2B0,800-363-2766,24 hours daily; for customer use only,4,,Non-Networked,46.271323,-73.862351,2021-12-13,83818,2022-04-28 20:01:31 UTC,J1772 TESLA,OTHER_ENTERTAINMENT,Free
